City,Area,Avg_Price_per_sqft,Avg_Rent,Safety_Score,Pollution_Index,Hospital_Distance_km,School_Distance_km,Metro_Distance_km,Grocery_Distance_km,Internet_Speed_Mbps,Power_Backup,Water_Availability_Score,Lifestyle_Score,Green_Space_Score,Pollution_Index_Adjusted,Safety_Score_Adjusted,Price_Score,Pollution_Score,Hospital_Score,School_Score,Metro_Score,Grocery_Score,Location_Score
Bengaluru,Marathahalli,5501,22838,5.6,61,3.39,3.01,0.99,0.63,109,1,9.2,6.5,7.7,69,6.1,16499,181,1.6099999999999999,1.9900000000000002,4.01,4.37,3336.1220000000003
Mumbai,Andheri West,5513,26663,8.7,61,1.34,3.19,1.01,0.68,108,1,6.3,8.9,9.4,66,8.899999999999999,16487,184,3.66,1.81,3.99,4.32,3335.442
Hyderabad,Manikonda,5506,28218,9.5,79,1.95,1.92,1.6,0.9,66,1,6.6,8.0,8.9,89,9.6,16494,161,3.05,3.08,3.4,4.1,3333.2695000000003
Mumbai,Navi Mumbai Vashi,5523,60814,7.3,62,2.94,1.5,2.81,1.05,115,1,8.9,9.0,8.8,67,7.5,16477,183,2.06,3.5,2.19,3.95,3333.155
Chennai,Porur,5514,42625,6.3,69,1.6,3.09,2.18,0.94,68,1,7.7,7.1,8.1,74,6.6,16486,176,3.4,1.9100000000000001,2.82,4.0600000000000005,3332.8035000000004
Chennai,Sholinganallur,5517,53301,6.7,75,1.48,2.58,1.79,0.79,112,1,9.2,8.4,5.7,80,7.0,16483,170,3.52,2.42,3.21,4.21,3331.679
Chennai,Perungudi,5505,27076,8.4,91,1.75,1.93,1.83,0.61,99,1,6.6,6.8,6.2,96,8.700000000000001,16495,154,3.25,3.0700000000000003,3.17,4.39,3331.257
Chennai,T Nagar,5500,62392,9.1,103,1.88,2.6,2.71,0.5,74,1,7.5,7.0,7.9,108,9.4,16500,142,3.12,2.4,2.29,4.5,3331.0965
Pune,Hadapsar,5522,47216,6.9,73,1.94,1.66,2.34,0.62,88,1,6.8,9.3,7.3,88,7.5,16478,162,3.06,3.34,2.66,4.38,3329.6410000000005
Bengaluru,Marathahalli,5501,63049,7.5,106,1.66,2.69,2.05,0.46,65,1,8.1,7.0,6.7,114,8.0,16499,136,3.34,2.31,2.95,4.54,3329.621
Chennai,Sholinganallur,5536,43783,8.0,69,1.71,2.78,1.81,0.6,108,1,8.4,7.7,8.8,74,8.3,16464,176,3.29,2.22,3.19,4.4,3329.465
