City,Area,Avg_Price_per_sqft,Avg_Rent,Safety_Score,Pollution_Index,Hospital_Distance_km,School_Distance_km,Metro_Distance_km,Grocery_Distance_km,Internet_Speed_Mbps,Power_Backup,Water_Availability_Score,Lifestyle_Score,Green_Space_Score
Hyderabad,Manikonda,17464,29284,6.1,134,2.15,1.83,0.69,0.85,112,1,9.4,8.9,6.3
Hyderabad,Banjara Hills,6684,37769,7.6,148,1.73,2.53,0.68,0.49,75,1,6.8,6.3,8.0
Hyderabad,Kukatpally,6767,49551,7.4,110,2.7,2.13,0.34,1.14,73,1,8.8,7.1,5.9
Hyderabad,Kukatpally,16248,35159,5.6,140,1.65,2.66,1.14,0.72,101,1,8.0,6.1,8.9
Hyderabad,HITEC City,9797,44557,9.2,154,3.3,1.22,0.83,0.25,99,1,9.0,8.6,7.7
Mumbai,Bandra East,10359,57099,7.7,100,1.74,1.41,0.34,0.62,60,1,6.7,6.0,8.8
Delhi NCR,Faridabad,19486,30666,5.8,100,3.29,3.13,1.51,0.3,114,1,7.1,7.1,8.4
Chennai,Adyar,10556,50482,6.0,190,2.9,2.4,2.38,0.69,68,1,8.5,6.4,7.3
Bengaluru,HSR Layout,12908,59523,7.8,191,3.27,1.62,1.41,0.96,95,1,9.3,8.1,8.3
Hyderabad,HITEC City,16421,60557,8.0,193,2.14,1.55,1.42,1.08,117,1,6.4,7.2,9.1
Delhi NCR,Ghaziabad,6806,24776,8.8,62,1.02,2.28,1.43,0.42,110,1,6.9,6.9,6.2
Delhi NCR,Dwarka Sec 12,10732,64576,6.5,71,1.63,2.24,1.11,0.48,76,1,6.9,9.4,7.1
Pune,Hinjewadi,12028,64717,6.1,219,2.38,2.48,0.52,0.57,76,1,8.5,7.3,8.0
Chennai,Anna Nagar,7430,62542,5.9,156,1.38,2.27,2.18,1.06,119,1,8.4,6.1,7.5
Bengaluru,Yelahanka,8411,19734,6.2,187,2.29,3.09,2.12,0.94,109,1,9.2,9.1,6.5
Hyderabad,Secunderabad,14315,59976,7.6,172,1.6,1.23,2.72,1.1,118,1,6.7,7.0,8.3
Bengaluru,Yelahanka,11795,30183,8.9,172,1.4,3.25,1.94,0.21,84,1,8.3,6.0,6.1
